# MD Simulation - NVT Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.250       205.83      0.02835493   -779.14332092   -779.11496598
         2        0.500       278.88      0.03841719   -779.14289733   -779.10448014
         3        0.750       267.15      0.03680154   -779.14211922   -779.10531768
         4        1.000       314.84      0.04337174   -779.14129259   -779.09792085
         5        1.250       309.57      0.04264514   -779.14068809   -779.09804295
         6        1.500       283.96      0.03911791   -779.14033772   -779.10121981
         7        1.750       311.64      0.04293012   -779.14049348   -779.09756336
         8        2.000       265.13      0.03652292   -779.14074894   -779.10422602
         9        2.250       286.48      0.03946451   -779.14106560   -779.10160110
        10        2.500       324.94      0.04476257   -779.14083674   -779.09607417
        11        2.750       302.63      0.04168915   -779.14051274   -779.09882359
        12        3.000       322.02      0.04436042   -779.14030190   -779.09594148
        13        3.250       296.61      0.04085930   -779.14027485   -779.09941555
        14        3.500       365.61      0.05036442   -779.14030142   -779.08993699
        15        3.750       322.81      0.04446909   -779.14006931   -779.09560022
        16        4.000       294.98      0.04063486   -779.13996022   -779.09932535
        17        4.250       389.79      0.05369588   -779.13975569   -779.08605981
        18        4.500       388.76      0.05355471   -779.13918604   -779.08563133
        19        4.750       352.30      0.04853183   -779.13858911   -779.09005728
        20        5.000       298.43      0.04111046   -779.13795061   -779.09684015
        21        5.250       254.82      0.03510252   -779.13806455   -779.10296203
        22        5.500       210.10      0.02894199   -779.13794122   -779.10899923
        23        5.750       310.07      0.04271379   -779.13759472   -779.09488093
        24        6.000       329.68      0.04541581   -779.13718020   -779.09176439
        25        6.250       279.99      0.03857011   -779.13694719   -779.09837708
        26        6.500       253.12      0.03486910   -779.13745509   -779.10258599
        27        6.750       256.32      0.03530912   -779.13783874   -779.10252962
        28        7.000       249.68      0.03439436   -779.13795469   -779.10356034
        29        7.250       331.61      0.04568190   -779.13790702   -779.09222512
        30        7.500       306.74      0.04225579   -779.13744021   -779.09518442
        31        7.750       283.68      0.03907824   -779.13706107   -779.09798282
        32        8.000       263.08      0.03624153   -779.13682392   -779.10058239
        33        8.250       303.36      0.04179008   -779.13641973   -779.09462965
        34        8.500       324.77      0.04473852   -779.13582450   -779.09108598
        35        8.750       330.72      0.04555861   -779.13549406   -779.08993545
        36        9.000       319.72      0.04404403   -779.13590323   -779.09185920
        37        9.250       316.71      0.04362872   -779.13630575   -779.09267703
        38        9.500       319.84      0.04406054   -779.13690054   -779.09284000
        39        9.750       474.17      0.06531958   -779.13757151   -779.07225192
        40       10.000       440.92      0.06073985   -779.13776573   -779.07702588
        41       10.250       327.92      0.04517280   -779.13764491   -779.09247212
        42       10.500       245.63      0.03383730   -779.13722087   -779.10338356
