# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.500      2446.53      0.17432333   -234.41870479   -234.24438146
         2        1.000      1532.93      0.10922594   -234.41902829   -234.30980235
         3        1.500      1383.81      0.09860102   -234.42159328   -234.32299227
         4        2.000      1641.70      0.11697665   -234.41994486   -234.30296821
         5        2.500      2625.12      0.18704807   -234.42517590   -234.23812783
         6        3.000      2448.66      0.17447486   -234.42369844   -234.24922359
         7        3.500      2256.28      0.16076697   -234.42831993   -234.26755296
         8        4.000      2333.59      0.16627578   -234.42911628   -234.26284050
         9        4.500      1897.14      0.13517768   -234.43133162   -234.29615394
        10        5.000      2830.30      0.20166787   -234.43230045   -234.23063258
        11        5.500      1668.45      0.11888237   -234.42819703   -234.30931466
        12        6.000      1705.85      0.12154765   -234.42937524   -234.30782759
        13        6.500      1530.83      0.10907653   -234.43050355   -234.32142702
        14        7.000      1484.64      0.10578527   -234.43814918   -234.33236391
        15        7.500      1862.92      0.13273902   -234.43726436   -234.30452533
        16        8.000      2553.95      0.18197695   -234.43497093   -234.25299398
        17        8.500      2735.37      0.19490430   -234.43471469   -234.23981039
        18        9.000      3695.10      0.26328769   -234.43406320   -234.17077551
        19        9.500      1153.53      0.08219248   -234.44018385   -234.35799137
        20       10.000      1753.20      0.12492148   -234.44097789   -234.31605641
        21       10.500      2262.50      0.16121068   -234.44304631   -234.28183563
        22       11.000      1459.85      0.10401884   -234.44452561   -234.34050677
        23       11.500      1702.09      0.12127929   -234.44845067   -234.32717139
        24       12.000      1330.43      0.09479777   -234.45015797   -234.35536020
        25       12.500      2350.65      0.16749125   -234.44915075   -234.28165950
        26       13.000      1723.58      0.12281046   -234.44898041   -234.32616995
        27       13.500      1944.40      0.13854476   -234.45088260   -234.31233784
        28       14.000      2607.74      0.18580967   -234.45442716   -234.26861749
        29       14.500      1693.99      0.12070202   -234.45657825   -234.33587623
        30       15.000      2469.22      0.17594014   -234.45776070   -234.28182056
        31       15.500      1728.32      0.12314878   -234.45783637   -234.33468760
        32       16.000      1468.39      0.10462774   -234.45726223   -234.35263449
        33       16.500      2053.71      0.14633344   -234.45986904   -234.31353560
        34       17.000      1892.07      0.13481587   -234.45781891   -234.32300303
        35       17.500      2640.31      0.18813099   -234.46417216   -234.27604116
        36       18.000      2351.96      0.16758516   -234.46237241   -234.29478725
        37       18.500      1436.99      0.10239012   -234.46556628   -234.36317616
        38       19.000      2144.36      0.15279255   -234.46547378   -234.31268122
        39       19.500      1969.69      0.14034654   -234.46417914   -234.32383260
        40       20.000      2115.72      0.15075222   -234.46575403   -234.31500181
        41       20.500      2415.80      0.17213345   -234.46937536   -234.29724191
        42       21.000      2334.31      0.16632716   -234.46600229   -234.29967512
        43       21.500      1791.53      0.12765206   -234.46935949   -234.34170742
        44       22.000      1952.25      0.13910428   -234.47025044   -234.33114616
        45       22.500      2899.96      0.20663167   -234.47060402   -234.26397235
        46       23.000      1758.04      0.12526613   -234.47342311   -234.34815699
        47       23.500      2011.99      0.14336101   -234.47492426   -234.33156325
        48       24.000      1796.91      0.12803592   -234.47022722   -234.34219131
        49       24.500      1621.86      0.11556281   -234.47170809   -234.35614528
        50       25.000      1668.70      0.11890014   -234.47326299   -234.35436285
        51       25.500      1499.33      0.10683214   -234.46932209   -234.36248995
        52       26.000      2104.88      0.14997975   -234.47333143   -234.32335168
        53       26.500      2569.32      0.18307224   -234.47096793   -234.28789569
        54       27.000      1765.53      0.12580003   -234.47329185   -234.34749182
        55       27.500      1756.25      0.12513840   -234.47566775   -234.35052936
        56       28.000      1624.15      0.11572602   -234.47119829   -234.35547227
        57       28.500      1641.69      0.11697560   -234.47117504   -234.35419944
        58       29.000      2141.19      0.15256645   -234.47361288   -234.32104643
        59       29.500      1555.48      0.11083322   -234.47315531   -234.36232209
        60       30.000      1808.48      0.12886019   -234.47459961   -234.34573942
        61       30.500      2686.84      0.19144620   -234.47800314   -234.28655694
        62       31.000      2273.93      0.16202465   -234.47149488   -234.30947023
        63       31.500      1831.73      0.13051681   -234.47022975   -234.33971294
        64       32.000      1525.51      0.10869759   -234.47673716   -234.36803957
        65       32.500      2709.78      0.19308042   -234.47386591   -234.28078549
        66       33.000      1683.52      0.11995660   -234.46898190   -234.34902530
        67       33.500      2383.42      0.16982610   -234.47635191   -234.30652581
        68       34.000      1768.75      0.12602951   -234.47211459   -234.34608507
        69       34.500      1319.11      0.09399123   -234.47716782   -234.38317659
        70       35.000      2064.31      0.14708897   -234.47924023   -234.33215126
        71       35.500      1763.78      0.12567537   -234.47833670   -234.35266133
        72       36.000      2219.76      0.15816503   -234.47840335   -234.32023832
        73       36.500      2960.47      0.21094293   -234.48198061   -234.27103767
        74       37.000      1541.30      0.10982268   -234.47484122   -234.36501854
        75       37.500      1407.46      0.10028639   -234.47479692   -234.37451052
        76       38.000      1652.61      0.11775413   -234.47468622   -234.35693209
        77       38.500      1392.98      0.09925407   -234.47560107   -234.37634700
        78       39.000      1950.03      0.13894573   -234.47176172   -234.33281599
        79       39.500      1479.05      0.10538682   -234.47153608   -234.36614926
        80       40.000      2071.29      0.14758642   -234.46958829   -234.32200187
        81       40.500      2508.10      0.17871047   -234.46454875   -234.28583828
        82       41.000      1998.22      0.14237954   -234.46953295   -234.32715342
        83       41.500      2165.10      0.15427070   -234.46962676   -234.31535606
        84       42.000      1534.61      0.10934593   -234.47110894   -234.36176301
        85       42.500      1851.87      0.13195156   -234.47428543   -234.34233388
        86       43.000      2374.65      0.16920168   -234.47542327   -234.30622159
        87       43.500      2444.19      0.17415668   -234.47311135   -234.29895467
        88       44.000      2164.23      0.15420831   -234.47513662   -234.32092831
        89       44.500      2204.31      0.15706396   -234.47467954   -234.31761558
        90       45.000      2429.05      0.17307777   -234.47207453   -234.29899675
        91       45.500      2450.08      0.17457611   -234.47571716   -234.30114105
        92       46.000      2583.96      0.18411582   -234.47810426   -234.29398844
        93       46.500      1398.44      0.09964349   -234.47578664   -234.37614315
        94       47.000      1856.40      0.13227437   -234.47432381   -234.34204944
        95       47.500      2321.33      0.16540261   -234.47490992   -234.30950731
        96       48.000      1876.49      0.13370588   -234.47582724   -234.34212137
        97       48.500      2027.86      0.14449128   -234.47543483   -234.33094355
        98       49.000      1778.04      0.12669148   -234.47258927   -234.34589779
        99       49.500      1866.34      0.13298270   -234.47883012   -234.34584742
       100       50.000      1950.39      0.13897176   -234.48098724   -234.34201548
       101       50.500      2568.55      0.18301726   -234.48207688   -234.29905962
       102       51.000      1880.66      0.13400317   -234.48350901   -234.34950584
       103       51.500      1916.21      0.13653600   -234.48302808   -234.34649208
       104       52.000      2204.99      0.15711264   -234.48448509   -234.32737244
       105       52.500      1972.33      0.14053476   -234.48198793   -234.34145317
       106       53.000      1440.68      0.10265288   -234.48390807   -234.38125519
       107       53.500      1697.12      0.12092515   -234.48563941   -234.36471426
       108       54.000      1186.30      0.08452783   -234.48643121   -234.40190339
       109       54.500      2114.49      0.15066458   -234.48822214   -234.33755755
       110       55.000      1484.74      0.10579220   -234.48437988   -234.37858768
       111       55.500      1684.57      0.12003118   -234.48346636   -234.36343518
       112       56.000      1787.59      0.12737190   -234.48791027   -234.36053837
       113       56.500      2163.07      0.15412554   -234.48917983   -234.33505429
       114       57.000      1601.06      0.11408091   -234.49063661   -234.37655570
       115       57.500      1897.67      0.13521531   -234.49185177   -234.35663646
       116       58.000      3223.13      0.22965818   -234.49355049   -234.26389231
       117       58.500      2710.55      0.19313531   -234.48624676   -234.29311145
       118       59.000      1894.79      0.13500997   -234.48704563   -234.35203565
       119       59.500      1643.39      0.11709717   -234.48973883   -234.37264166
       120       60.000      2215.54      0.15786453   -234.49376203   -234.33589749
       121       60.500      1933.56      0.13777220   -234.49199476   -234.35422255
       122       61.000      1714.35      0.12215296   -234.48886252   -234.36670956
       123       61.500      1549.19      0.11038491   -234.49065073   -234.38026582
       124       62.000      1914.92      0.13644410   -234.49038775   -234.35394366
       125       62.500      1949.67      0.13892064   -234.49062750   -234.35170686
       126       63.000      1522.69      0.10849672   -234.48888891   -234.38039220
       127       63.500      1732.81      0.12346867   -234.49126803   -234.36779936
       128       64.000      2312.56      0.16477778   -234.49044681   -234.32566903
       129       64.500      3093.99      0.22045682   -234.48481934   -234.26436252
       130       65.000      2202.18      0.15691255   -234.48334547   -234.32643292
       131       65.500      2565.77      0.18281928   -234.47897255   -234.29615327
       132       66.000      2252.22      0.16047792   -234.48445985   -234.32398193
       133       66.500      1989.31      0.14174501   -234.48612339   -234.34437838
       134       67.000      1536.10      0.10945190   -234.48041427   -234.37096237
       135       67.500      2003.36      0.14274592   -234.48757084   -234.34482492
       136       68.000      1251.59      0.08917994   -234.48908589   -234.39990595
       137       68.500      2126.26      0.15150330   -234.48997188   -234.33846859
       138       69.000      1759.20      0.12534843   -234.48855944   -234.36321102
       139       69.500      1799.97      0.12825386   -234.48635210   -234.35809824
       140       70.000      2448.76      0.17448234   -234.48874510   -234.31426276
       141       70.500      1790.33      0.12756719   -234.48826951   -234.36070232
       142       71.000      1974.34      0.14067823   -234.48677728   -234.34609905
       143       71.500      1936.80      0.13800304   -234.48841633   -234.35041329
       144       72.000      1930.58      0.13756044   -234.48409506   -234.34653462
       145       72.500      1914.00      0.13637858   -234.48773846   -234.35135988
       146       73.000      2163.24      0.15413770   -234.49039851   -234.33626081
       147       73.500      2105.95      0.15005561   -234.49041213   -234.34035652
       148       74.000      1855.56      0.13221458   -234.49160724   -234.35939266
       149       74.500      1806.85      0.12874427   -234.49010893   -234.36136466
       150       75.000      1637.55      0.11668099   -234.48984157   -234.37316058
       151       75.500      2019.20      0.14387453   -234.49018417   -234.34630964
       152       76.000      1664.46      0.11859811   -234.49418183   -234.37558371
       153       76.500      2648.11      0.18868615   -234.49489693   -234.30621078
       154       77.000      2264.09      0.16132386   -234.49636039   -234.33503653
       155       77.500      1689.99      0.12041761   -234.49319253   -234.37277492
       156       78.000      2785.42      0.19847032   -234.49574767   -234.29727735
       157       78.500      2328.13      0.16588668   -234.49656554   -234.33067886
       158       79.000      2014.72      0.14355564   -234.49738519   -234.35382954
       159       79.500      1524.57      0.10863029   -234.49472465   -234.38609437
       160       80.000      2379.23      0.16952801   -234.49526374   -234.32573573
       161       80.500      2326.79      0.16579164   -234.48838969   -234.32259805
       162       81.000      2218.73      0.15809186   -234.49237629   -234.33428443
       163       81.500      1571.88      0.11200190   -234.49101169   -234.37900979
       164       82.000      2069.78      0.14747835   -234.49135899   -234.34388064
       165       82.500      1678.79      0.11961929   -234.49470954   -234.37509025
       166       83.000      1943.57      0.13848540   -234.49484581   -234.35636041
       167       83.500      2118.24      0.15093164   -234.49536843   -234.34443680
       168       84.000      1914.70      0.13642844   -234.49167199   -234.35524355
       169       84.500      1641.24      0.11694390   -234.49209436   -234.37515046
