
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step      100       25.00 fs  T  320.66 K  E    -779.089295 Ha
  Step      200       50.00 fs  T  352.46 K  E    -779.086143 Ha
  Step      300       75.00 fs  T  341.23 K  E    -779.087270 Ha
  Step      400      100.00 fs  T  338.18 K  E    -779.087555 Ha
  Step      500      125.00 fs  T  303.15 K  E    -779.091029 Ha
  Step      600      150.00 fs  T  352.21 K  E    -779.086190 Ha
  Step      700      175.00 fs  T  331.56 K  E    -779.088210 Ha
  Step      800      200.00 fs  T  257.60 K  E    -779.095526 Ha
  Step      900      225.00 fs  T  281.57 K  E    -779.093179 Ha
  Step     1000      250.00 fs  T  242.86 K  E    -779.097000 Ha
  Step     1100      275.00 fs  T  259.59 K  E    -779.095335 Ha
  Step     1200      300.00 fs  T  311.28 K  E    -779.090245 Ha
  Step     1300      325.00 fs  T  286.94 K  E    -779.092642 Ha
  Step     1400      350.00 fs  T  302.95 K  E    -779.091045 Ha
  Step     1500      375.00 fs  T  348.90 K  E    -779.086509 Ha
  Step     1600      400.00 fs  T  307.61 K  E    -779.090589 Ha
  Step     1700      425.00 fs  T  309.60 K  E    -779.090390 Ha
  Step     1800      450.00 fs  T  308.32 K  E    -779.090525 Ha
  Step     1900      475.00 fs  T  297.61 K  E    -779.091568 Ha
  Step     2000      500.00 fs  T  305.09 K  E    -779.090847 Ha
  Step     2100      525.00 fs  T  347.04 K  E    -779.086711 Ha
  Step     2200      550.00 fs  T  356.89 K  E    -779.085709 Ha
  Step     2300      575.00 fs  T  314.64 K  E    -779.089893 Ha
  Step     2400      600.00 fs  T  315.12 K  E    -779.089869 Ha
  Step     2500      625.00 fs  T  340.83 K  E    -779.087313 Ha
  Step     2600      650.00 fs  T  327.62 K  E    -779.088607 Ha
  Step     2700      675.00 fs  T  347.75 K  E    -779.086633 Ha
  Step     2800      700.00 fs  T  309.75 K  E    -779.090386 Ha
  Step     2900      725.00 fs  T  283.29 K  E    -779.092992 Ha
  Step     3000      750.00 fs  T  312.49 K  E    -779.090116 Ha
  Step     3100      775.00 fs  T  371.55 K  E    -779.084263 Ha
  Step     3200      800.00 fs  T  286.86 K  E    -779.092640 Ha
  Step     3300      825.00 fs  T  337.05 K  E    -779.087687 Ha
  Step     3400      850.00 fs  T  333.08 K  E    -779.088081 Ha
  Step     3500      875.00 fs  T  350.61 K  E    -779.086328 Ha
  Step     3600      900.00 fs  T  320.39 K  E    -779.089353 Ha
  Step     3700      925.00 fs  T  283.00 K  E    -779.093047 Ha
  Step     3800      950.00 fs  T  283.46 K  E    -779.092973 Ha
  Step     3900      975.00 fs  T  308.01 K  E    -779.090565 Ha
