# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.250       418.56      0.05765915   -779.13727397   -779.07961482
         2        0.500       415.35      0.05721771   -779.13714111   -779.07992339
         3        0.750       404.59      0.05573469   -779.13671175   -779.08097706
         4        1.000       391.65      0.05395196   -779.13620086   -779.08224890
         5        1.250       381.05      0.05249243   -779.13578771   -779.08329528
         6        1.500       374.58      0.05160126   -779.13554116   -779.08393990
         7        1.750       371.17      0.05113036   -779.13541592   -779.08428557
         8        2.000       368.21      0.05072379   -779.13530801   -779.08458423
         9        2.250       363.34      0.05005302   -779.13512256   -779.08506955
        10        2.500       355.50      0.04897229   -779.13481838   -779.08584609
        11        2.750       345.20      0.04755391   -779.13441678   -779.08686287
        12        3.000       334.16      0.04603227   -779.13398531   -779.08795304
        13        3.250       324.52      0.04470425   -779.13360887   -779.08890462
        14        3.500       318.12      0.04382331   -779.13336001   -779.08953671
        15        3.750       315.88      0.04351378   -779.13327431   -779.08976053
        16        4.000       317.44      0.04372967   -779.13333856   -779.08960889
        17        4.250       321.43      0.04427860   -779.13349710   -779.08921849
        18        4.500       326.05      0.04491516   -779.13367877   -779.08876361
        19        4.750       330.11      0.04547476   -779.13383534   -779.08836058
        20        5.000       333.81      0.04598377   -779.13397375   -779.08798998
        21        5.250       338.79      0.04667050   -779.13416032   -779.08748982
        22        5.500       347.26      0.04783684   -779.13448372   -779.08664688
        23        5.750       360.32      0.04963638   -779.13499061   -779.08535424
        24        6.000       376.71      0.05189402   -779.13563210   -779.08373808
        25        6.250       392.76      0.05410530   -779.13626296   -779.08215767
        26        6.500       403.90      0.05563999   -779.13670112   -779.08106113
        27        6.750       406.75      0.05603260   -779.13681239   -779.08077979
        28        7.000       400.65      0.05519265   -779.13657096   -779.08137831
        29        7.250       387.90      0.05343542   -779.13606795   -779.08263254
        30        7.500       372.72      0.05134424   -779.13547074   -779.08412650
        31        7.750       359.68      0.04954809   -779.13495940   -779.08541131
        32        8.000       352.14      0.04851000   -779.13466585   -779.08615585
        33        8.250       351.28      0.04839168   -779.13463594   -779.08624426
        34        8.500       355.84      0.04901946   -779.13481986   -779.08580040
        35        8.750       362.57      0.04994682   -779.13509025   -779.08514343
        36        9.000       367.27      0.05059389   -779.13528123   -779.08468734
        37        9.250       366.13      0.05043697   -779.13524271   -779.08480573
        38        9.500       357.21      0.04920782   -779.13489660   -779.08568878
        39        9.750       341.47      0.04703934   -779.13427982   -779.08724047
        40       10.000       322.88      0.04447854   -779.13354839   -779.08906985
        41       10.250       307.18      0.04231553   -779.13292939   -779.09061386
        42       10.500       299.58      0.04126864   -779.13263005   -779.09136141
        43       10.750       302.49      0.04167053   -779.13274627   -779.09107574
        44       11.000       314.49      0.04332293   -779.13322059   -779.08989766
        45       11.250       330.96      0.04559162   -779.13387040   -779.08827878
        46       11.500       346.09      0.04767610   -779.13446586   -779.08678976
        47       11.750       355.07      0.04891359   -779.13481761   -779.08590402
        48       12.000       355.65      0.04899352   -779.13483761   -779.08584409
        49       12.250       348.61      0.04802288   -779.13455728   -779.08653439
        50       12.500       337.17      0.04644702   -779.13410467   -779.08765765
        51       12.750       325.73      0.04487131   -779.13365323   -779.08878192
        52       13.000       318.28      0.04384566   -779.13336032   -779.08951466
        53       13.250       317.05      0.04367613   -779.13331364   -779.08963750
        54       13.500       321.74      0.04432238   -779.13350145   -779.08917907
        55       13.750       329.71      0.04541980   -779.13381895   -779.08839915
        56       14.000       337.03      0.04642833   -779.13411079   -779.08768246
        57       14.250       340.15      0.04685846   -779.13423579   -779.08737733
        58       14.500       337.39      0.04647827   -779.13412745   -779.08764918
        59       14.750       329.54      0.04539642   -779.13381788   -779.08842146
        60       15.000       319.20      0.04397154   -779.13341157   -779.08944002
