
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.100 fs
Total steps:     10000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: AG_opt.out -> #AG_opt.out.3#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step     1000      100.00 fs  T  143.23 K  E    -779.117818 Ha
  Step     2000      200.00 fs  T  168.22 K  E    -779.115343 Ha
  Step     3000      300.00 fs  T  154.36 K  E    -779.116716 Ha
  Step     4000      400.00 fs  T  166.76 K  E    -779.115486 Ha
  Step     5000      500.00 fs  T  163.54 K  E    -779.115807 Ha
  Step     6000      600.00 fs  T  147.04 K  E    -779.117443 Ha
  Step     7000      700.00 fs  T  190.49 K  E    -779.113132 Ha
  Step     8000      800.00 fs  T  202.36 K  E    -779.111960 Ha
  Step     9000      900.00 fs  T  131.34 K  E    -779.118997 Ha
  Step    10000     1000.00 fs  T  190.57 K  E    -779.113128 Ha
  Step    11000     1100.00 fs  T  176.40 K  E    -779.114530 Ha
  Step    12000     1200.00 fs  T  179.23 K  E    -779.114251 Ha
  Step    13000     1300.00 fs  T  164.92 K  E    -779.115669 Ha
  Step    14000     1400.00 fs  T  186.33 K  E    -779.113547 Ha
  Step    15000     1500.00 fs  T  172.74 K  E    -779.114894 Ha
  Step    16000     1600.00 fs  T  164.42 K  E    -779.115720 Ha
  Step    17000     1700.00 fs  T  160.07 K  E    -779.116150 Ha
  Step    18000     1800.00 fs  T  191.73 K  E    -779.113013 Ha
  Step    19000     1900.00 fs  T  163.83 K  E    -779.115776 Ha
  Step    20000     2000.00 fs  T  158.81 K  E    -779.116276 Ha
  Step    21000     2100.00 fs  T  142.70 K  E    -779.117873 Ha
  Step    22000     2200.00 fs  T  169.23 K  E    -779.115242 Ha
  Step    23000     2300.00 fs  T  165.48 K  E    -779.115615 Ha
  Step    24000     2400.00 fs  T  126.54 K  E    -779.119475 Ha
  Step    25000     2500.00 fs  T  180.35 K  E    -779.114140 Ha
  Step    26000     2600.00 fs  T  141.63 K  E    -779.117978 Ha
  Step    27000     2700.00 fs  T  196.70 K  E    -779.112521 Ha
  Step    28000     2800.00 fs  T  143.02 K  E    -779.117841 Ha
  Step    29000     2900.00 fs  T  161.75 K  E    -779.115984 Ha
  Step    30000     3000.00 fs  T  167.12 K  E    -779.115451 Ha
  Step    31000     3100.00 fs  T  147.11 K  E    -779.117435 Ha
  Step    32000     3200.00 fs  T  171.49 K  E    -779.115018 Ha
  Step    33000     3300.00 fs  T  182.02 K  E    -779.113975 Ha
  Step    34000     3400.00 fs  T  159.07 K  E    -779.116249 Ha
  Step    35000     3500.00 fs  T  176.85 K  E    -779.114489 Ha
  Step    36000     3600.00 fs  T  148.72 K  E    -779.117273 Ha
  Step    37000     3700.00 fs  T  196.22 K  E    -779.112569 Ha
  Step    38000     3800.00 fs  T  159.02 K  E    -779.116253 Ha
  Step    39000     3900.00 fs  T  186.23 K  E    -779.113557 Ha
  Step    40000     4000.00 fs  T  179.82 K  E    -779.114193 Ha
  Step    41000     4100.00 fs  T  166.63 K  E    -779.115500 Ha
  Step    42000     4200.00 fs  T  182.60 K  E    -779.113915 Ha
  Step    43000     4300.00 fs  T  178.08 K  E    -779.114367 Ha
  Step    44000     4400.00 fs  T  143.72 K  E    -779.117770 Ha
  Step    45000     4500.00 fs  T  177.01 K  E    -779.114472 Ha
  Step    46000     4600.00 fs  T  180.84 K  E    -779.114090 Ha
  Step    47000     4700.00 fs  T  130.83 K  E    -779.119048 Ha
  Step    48000     4800.00 fs  T  171.53 K  E    -779.115016 Ha
  Step    49000     4900.00 fs  T  269.43 K  E    -779.105301 Ha
  Step    50000     5000.00 fs  T  311.54 K  E    -779.101131 Ha
  Step    51000     5100.00 fs  T  247.77 K  E    -779.107450 Ha
  Step    52000     5200.00 fs  T  225.33 K  E    -779.109679 Ha
  Step    53000     5300.00 fs  T  274.46 K  E    -779.104806 Ha
  Step    54000     5400.00 fs  T  275.34 K  E    -779.104716 Ha
  Step    55000     5500.00 fs  T  306.77 K  E    -779.101602 Ha
  Step    56000     5600.00 fs  T  238.63 K  E    -779.108357 Ha
  Step    57000     5700.00 fs  T  305.53 K  E    -779.101726 Ha
  Step    58000     5800.00 fs  T  252.29 K  E    -779.107003 Ha
  Step    59000     5900.00 fs  T  262.11 K  E    -779.106032 Ha
  Step    60000     6000.00 fs  T  257.83 K  E    -779.106453 Ha
  Step    61000     6100.00 fs  T  238.78 K  E    -779.108346 Ha
  Step    62000     6200.00 fs  T  195.21 K  E    -779.112663 Ha
  Step    63000     6300.00 fs  T  259.80 K  E    -779.106261 Ha
  Step    64000     6400.00 fs  T  223.65 K  E    -779.109845 Ha
  Step    65000     6500.00 fs  T  293.80 K  E    -779.102887 Ha
  Step    66000     6600.00 fs  T  258.85 K  E    -779.106355 Ha
  Step    67000     6700.00 fs  T  232.02 K  E    -779.109014 Ha
  Step    68000     6800.00 fs  T  264.50 K  E    -779.105793 Ha
  Step    69000     6900.00 fs  T  242.03 K  E    -779.108022 Ha
  Step    70000     7000.00 fs  T  221.50 K  E    -779.110059 Ha
