# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.100       298.75      0.04115448   -779.14355702   -779.10240254
         2        0.200       294.93      0.04062825   -779.14340922   -779.10278097
         3        0.300       288.72      0.03977308   -779.14316905   -779.10339597
         4        0.400       280.41      0.03862820   -779.14284754   -779.10421934
         5        0.500       270.37      0.03724498   -779.14245917   -779.10521420
         6        0.600       259.04      0.03568414   -779.14202090   -779.10633676
         7        0.700       246.90      0.03401261   -779.14155159   -779.10753899
         8        0.800       234.47      0.03229996   -779.14107076   -779.10877080
         9        0.900       222.24      0.03061486   -779.14059778   -779.10998292
        10        1.000       210.67      0.02902149   -779.14015059   -779.11112910
        11        1.100       200.18      0.02757619   -779.13974505   -779.11216885
        12        1.200       191.09      0.02632453   -779.13939401   -779.11306948
        13        1.300       183.65      0.02529899   -779.13910652   -779.11380753
        14        1.400       177.98      0.02451735   -779.13888756   -779.11437021
        15        1.500       174.09      0.02398203   -779.13873794   -779.11475591
        16        1.600       171.90      0.02368026   -779.13865391   -779.11497365
        17        1.700       171.21      0.02358517   -779.13862792   -779.11504275
        18        1.800       171.74      0.02365782   -779.13864910   -779.11499128
        19        1.900       173.13      0.02384986   -779.13870387   -779.11485401
        20        2.000       175.00      0.02410677   -779.13877682   -779.11467004
        21        2.100       176.92      0.02437151   -779.13885195   -779.11448044
        22        2.200       178.49      0.02458823   -779.13891353   -779.11432531
        23        2.300       179.35      0.02470591   -779.13894726   -779.11424135
        24        2.400       179.17      0.02468171   -779.13894106   -779.11425935
        25        2.500       177.73      0.02448385   -779.13888596   -779.11440211
        26        2.600       174.90      0.02409373   -779.13877676   -779.11468304
        27        2.700       170.64      0.02350727   -779.13861238   -779.11510510
        28        2.800       165.04      0.02273530   -779.13839574   -779.11566044
        29        2.900       158.27      0.02180287   -779.13813399   -779.11633112
        30        3.000       150.61      0.02074761   -779.13783765   -779.11709003
        31        3.100       142.41      0.01961719   -779.13752015   -779.11790296
        32        3.200       134.05      0.01846597   -779.13719670   -779.11873073
        33        3.300       125.96      0.01735121   -779.13688357   -779.11953236
        34        3.400       118.54      0.01632904   -779.13659643   -779.12026739
        35        3.500       112.16      0.01545057   -779.13634966   -779.12089909
        36        3.600       107.14      0.01475860   -779.13615535   -779.12139675
        37        3.700       103.70      0.01428500   -779.13602238   -779.12173739
        38        3.800       101.99      0.01404911   -779.13595621   -779.12190710
        39        3.900       102.04      0.01405725   -779.13595860   -779.12190135
        40        4.000       103.83      0.01430323   -779.13602774   -779.12172451
        41        4.100       107.22      0.01476970   -779.13615887   -779.12138917
        42        4.200       112.01      0.01543022   -779.13634443   -779.12091421
        43        4.300       117.97      0.01625163   -779.13657509   -779.12032346
        44        4.400       124.83      0.01719657   -779.13684038   -779.11964381
        45        4.500       132.31      0.01822587   -779.13712928   -779.11890341
        46        4.600       140.11      0.01930062   -779.13743085   -779.11813022
        47        4.700       147.97      0.02038389   -779.13773481   -779.11735092
        48        4.800       155.65      0.02144197   -779.13803160   -779.11658963
        49        4.900       162.93      0.02244528   -779.13831300   -779.11586771
        50        5.000       169.64      0.02336890   -779.13857199   -779.11520310
        51        5.100       175.62      0.02419276   -779.13880295   -779.11461019
        52        5.200       180.77      0.02490180   -779.13900162   -779.11409982
        53        5.300       185.01      0.02548584   -779.13916529   -779.11367945
        54        5.400       188.30      0.02593945   -779.13929237   -779.11335293
        55        5.500       190.64      0.02626179   -779.13938255   -779.11312076
        56        5.600       192.05      0.02645643   -779.13943694   -779.11298051
        57        5.700       192.59      0.02653108   -779.13945767   -779.11292659
        58        5.800       192.35      0.02649730   -779.13944789   -779.11295059
        59        5.900       191.43      0.02637012   -779.13941202   -779.11304191
        60        6.000       189.95      0.02616749   -779.13935490   -779.11318742
        61        6.100       188.08      0.02590964   -779.13928237   -779.11337272
        62        6.200       185.97      0.02561824   -779.13920037   -779.11358213
        63        6.300       183.77      0.02531530   -779.13911518   -779.11379988
        64        6.400       181.64      0.02502209   -779.13903275   -779.11401065
        65        6.500       179.72      0.02475791   -779.13895846   -779.11420055
        66        6.600       178.13      0.02453894   -779.13889696   -779.11435802
        67        6.700       176.96      0.02437719   -779.13885154   -779.11447436
        68        6.800       176.25      0.02427972   -779.13882418   -779.11454446
        69        6.900       176.02      0.02424823   -779.13881547   -779.11456724
        70        7.000       176.25      0.02427909   -779.13882430   -779.11454521
        71        7.100       176.86      0.02436387   -779.13884821   -779.11448435
        72        7.200       177.78      0.02449039   -779.13888394   -779.11439356
        73        7.300       178.90      0.02464408   -779.13892728   -779.11428320
        74        7.400       180.10      0.02480954   -779.13897390   -779.11416437
        75        7.500       181.28      0.02497216   -779.13901963   -779.11404747
        76        7.600       182.35      0.02511953   -779.13906107   -779.11394154
        77        7.700       183.24      0.02524241   -779.13909559   -779.11385318
        78        7.800       183.91      0.02533512   -779.13912159   -779.11378647
        79        7.900       184.35      0.02539539   -779.13913847   -779.11374309
        80        8.000       184.55      0.02542358   -779.13914628   -779.11372270
        81        8.100       184.54      0.02542151   -779.13914569   -779.11372418
        82        8.200       184.32      0.02539114   -779.13913718   -779.11374604
        83        8.300       183.90      0.02533325   -779.13912095   -779.11378770
        84        8.400       183.27      0.02524652   -779.13909674   -779.11385022
        85        8.500       182.40      0.02512704   -779.13906336   -779.11393632
        86        8.600       181.25      0.02496845   -779.13901911   -779.11405066
        87        8.700       179.76      0.02476274   -779.13896162   -779.11419888
        88        8.800       177.86      0.02450144   -779.13888855   -779.11438711
        89        8.900       175.51      0.02417721   -779.13879785   -779.11462064
        90        9.000       172.66      0.02378533   -779.13868809   -779.11490276
        91        9.100       169.32      0.02332517   -779.13855915   -779.11523398
        92        9.200       165.52      0.02280119   -779.13841228   -779.11561109
        93        9.300       161.32      0.02222346   -779.13825018   -779.11602672
        94        9.400       156.85      0.02160766   -779.13807733   -779.11646967
        95        9.500       152.26      0.02097444   -779.13789957   -779.11692513
        96        9.600       147.71      0.02034841   -779.13772379   -779.11737538
        97        9.700       143.42      0.01975666   -779.13755758   -779.11780091
        98        9.800       139.57      0.01922715   -779.13740879   -779.11818164
        99        9.900       136.38      0.01878689   -779.13728508   -779.11849819
       100       10.000       134.01      0.01846026   -779.13719328   -779.11873302
       101       10.100       132.61      0.01826742   -779.13713898   -779.11887156
       102       10.200       132.28      0.01822295   -779.13712640   -779.11890344
       103       10.300       133.10      0.01833486   -779.13715777   -779.11882291
       104       10.400       135.05      0.01860387   -779.13723318   -779.11862931
       105       10.500       138.09      0.01902316   -779.13735085   -779.11832769
       106       10.600       142.12      0.01957841   -779.13750671   -779.11792830
       107       10.700       146.99      0.02024826   -779.13769477   -779.11744651
       108       10.800       152.48      0.02100514   -779.13790735   -779.11690220
       109       10.900       158.37      0.02181639   -779.13813512   -779.11631874
       110       11.000       164.39      0.02264567   -779.13836804   -779.11572236
       111       11.100       170.26      0.02345469   -779.13859527   -779.11514059
       112       11.200       175.71      0.02420500   -779.13880602   -779.11460102
       113       11.300       180.46      0.02486006   -779.13899007   -779.11413001
       114       11.400       184.29      0.02538724   -779.13913819   -779.11375095
       115       11.500       187.00      0.02575982   -779.13924288   -779.11348306
       116       11.600       188.44      0.02595885   -779.13929881   -779.11333996
       117       11.700       188.56      0.02597476   -779.13930325   -779.11332849
       118       11.800       187.35      0.02580848   -779.13925651   -779.11344803
       119       11.900       184.91      0.02547214   -779.13916191   -779.11368977
       120       12.000       181.40      0.02498905   -779.13902606   -779.11403701
       121       12.100       177.07      0.02439297   -779.13885839   -779.11446542
       122       12.200       172.24      0.02372657   -779.13867096   -779.11494439
       123       12.300       167.25      0.02303917   -779.13847757   -779.11543840
       124       12.400       162.49      0.02238369   -779.13829307   -779.11590938
       125       12.500       158.35      0.02181315   -779.13813243   -779.11631928
       126       12.600       155.18      0.02137674   -779.13800949   -779.11663275
       127       12.700       153.29      0.02111604   -779.13793594   -779.11681991
       128       12.800       152.89      0.02106154   -779.13792038   -779.11685884
