# MD Simulation - NVE Ensemble
# Timestep: 1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        1.000       241.10      0.05955531  -1313.10260806  -1313.04305274
         2        2.000       241.29      0.05960019  -1313.10303715  -1313.04343696
         3        3.000       255.47      0.06310280  -1313.10443431  -1313.04133151
         4        4.000       227.11      0.05609806  -1313.10167211  -1313.04557405
         5        5.000       246.20      0.06081408  -1313.10379912  -1313.04298505
         6        6.000       227.90      0.05629376  -1313.10211270  -1313.04581894
         7        7.000       217.47      0.05371686  -1313.10113644  -1313.04741958
         8        8.000       251.70      0.06217261  -1313.10417164  -1313.04199902
         9        9.000       246.54      0.06089833  -1313.10332000  -1313.04242167
        10       10.000       260.30      0.06429656  -1313.10418233  -1313.03988577
        11       11.000       294.71      0.07279757  -1313.10741691  -1313.03461934
        12       12.000       255.65      0.06314863  -1313.10362857  -1313.04047994
        13       13.000       258.50      0.06385123  -1313.10455442  -1313.04070319
        14       14.000       240.13      0.05931601  -1313.10305341  -1313.04373741
        15       15.000       230.66      0.05697679  -1313.10178642  -1313.04480963
        16       16.000       296.49      0.07323547  -1313.10745332  -1313.03421785
        17       17.000       299.95      0.07408985  -1313.10712930  -1313.03303945
        18       18.000       290.80      0.07183106  -1313.10653886  -1313.03470780
        19       19.000       274.33      0.06776357  -1313.10561029  -1313.03784673
        20       20.000       231.37      0.05715033  -1313.10211703  -1313.04496670
        21       21.000       233.99      0.05779834  -1313.10249867  -1313.04470033
        22       22.000       250.78      0.06194630  -1313.10408206  -1313.04213576
        23       23.000       237.20      0.05859101  -1313.10239576  -1313.04380475
        24       24.000       270.59      0.06683946  -1313.10538081  -1313.03854135
        25       25.000       280.84      0.06937102  -1313.10588748  -1313.03651646
        26       26.000       280.27      0.06923079  -1313.10569404  -1313.03646325
        27       27.000       287.92      0.07112058  -1313.10661982  -1313.03549924
        28       28.000       261.88      0.06468723  -1313.10421408  -1313.03952685
        29       29.000       280.59      0.06930866  -1313.10581916  -1313.03651050
        30       30.000       307.57      0.07597340  -1313.10785223  -1313.03187882
        31       31.000       312.53      0.07719941  -1313.10799597  -1313.03079656
        32       32.000       313.77      0.07750442  -1313.10833654  -1313.03083212
        33       33.000       289.83      0.07159092  -1313.10630641  -1313.03471549
        34       34.000       289.38      0.07147979  -1313.10631684  -1313.03483705
        35       35.000       308.41      0.07618164  -1313.10797401  -1313.03179237
        36       36.000       299.14      0.07389181  -1313.10704606  -1313.03315425
        37       37.000       290.59      0.07177882  -1313.10648457  -1313.03470575
        38       38.000       292.70      0.07229945  -1313.10662408  -1313.03432463
        39       39.000       308.08      0.07609877  -1313.10755638  -1313.03145761
        40       40.000       346.29      0.08553850  -1313.11059918  -1313.02506068
        41       41.000       345.59      0.08536513  -1313.11049217  -1313.02512704
        42       42.000       317.91      0.07852777  -1313.10822025  -1313.02969249
        43       43.000       310.50      0.07669780  -1313.10799028  -1313.03129248
        44       44.000       303.25      0.07490639  -1313.10716408  -1313.03225769
        45       45.000       323.65      0.07994476  -1313.10893544  -1313.02899067
        46       46.000       329.18      0.08131236  -1313.10927029  -1313.02795793
        47       47.000       317.89      0.07852267  -1313.10832708  -1313.02980440
        48       48.000       313.68      0.07748317  -1313.10816050  -1313.03067733
        49       49.000       306.49      0.07570755  -1313.10763359  -1313.03192604
        50       50.000       294.65      0.07278165  -1313.10681119  -1313.03402954
        51       51.000       287.06      0.07090674  -1313.10618221  -1313.03527546
        52       52.000       294.75      0.07280767  -1313.10679751  -1313.03398983
        53       53.000       317.56      0.07844136  -1313.10819244  -1313.02975109
        54       54.000       355.43      0.08779422  -1313.11138798  -1313.02359376
        55       55.000       342.22      0.08453178  -1313.11005093  -1313.02551915
        56       56.000       321.73      0.07947122  -1313.10863223  -1313.02916101
        57       57.000       319.57      0.07893767  -1313.10831663  -1313.02937897
        58       58.000       352.76      0.08713577  -1313.11081372  -1313.02367796
        59       59.000       390.28      0.09640355  -1313.11356461  -1313.01716106
        60       60.000       396.35      0.09790182  -1313.11403033  -1313.01612851
        61       61.000       364.32      0.08999121  -1313.11169745  -1313.02170623
        62       62.000       330.48      0.08163231  -1313.10890493  -1313.02727262
        63       63.000       343.77      0.08491614  -1313.11034047  -1313.02542433
        64       64.000       356.37      0.08802675  -1313.11086270  -1313.02283595
        65       65.000       390.38      0.09642877  -1313.11361255  -1313.01718378
        66       66.000       402.89      0.09951735  -1313.11436026  -1313.01484291
        67       67.000       396.22      0.09787201  -1313.11372412  -1313.01585211
        68       68.000       401.78      0.09924355  -1313.11429631  -1313.01505277
        69       69.000       396.74      0.09799850  -1313.11388588  -1313.01588738
        70       70.000       386.15      0.09538407  -1313.11304164  -1313.01765756
        71       71.000       387.54      0.09572697  -1313.11322986  -1313.01750289
        72       72.000       393.31      0.09715121  -1313.11362874  -1313.01647754
        73       73.000       405.87      0.10025570  -1313.11444837  -1313.01419267
        74       74.000       412.84      0.10197711  -1313.11526236  -1313.01328526
        75       75.000       387.21      0.09564513  -1313.11298624  -1313.01734111
        76       76.000       383.14      0.09463952  -1313.11291771  -1313.01827819
        77       77.000       385.76      0.09528709  -1313.11319460  -1313.01790751
        78       78.000       375.39      0.09272503  -1313.11233853  -1313.01961350
        79       79.000       361.29      0.08924216  -1313.11158907  -1313.02234690
        80       80.000       324.40      0.08013101  -1313.10862093  -1313.02848992
        81       81.000       331.80      0.08195871  -1313.10911866  -1313.02715996
        82       82.000       384.30      0.09492631  -1313.11322213  -1313.01829582
        83       83.000       405.58      0.10018321  -1313.11452391  -1313.01434070
        84       84.000       406.43      0.10039186  -1313.11476784  -1313.01437598
        85       85.000       364.74      0.09009368  -1313.11165939  -1313.02156571
        86       86.000       324.38      0.08012639  -1313.10852432  -1313.02839793
        87       87.000       336.04      0.08300613  -1313.10968958  -1313.02668345
        88       88.000       351.24      0.08676028  -1313.11079091  -1313.02403063
        89       89.000       353.12      0.08722432  -1313.11081341  -1313.02358908
        90       90.000       351.50      0.08682570  -1313.11093273  -1313.02410703
        91       91.000       326.57      0.08066679  -1313.10886336  -1313.02819658
        92       92.000       320.22      0.07909900  -1313.10849448  -1313.02939548
        93       93.000       331.01      0.08176301  -1313.10939341  -1313.02763040
        94       94.000       334.34      0.08258479  -1313.10933292  -1313.02674814
        95       95.000       362.24      0.08947712  -1313.11170074  -1313.02222362
        96       96.000       360.45      0.08903591  -1313.11134493  -1313.02230902
        97       97.000       348.23      0.08601723  -1313.11046918  -1313.02445195
        98       98.000       344.04      0.08498097  -1313.11027484  -1313.02529387
        99       99.000       338.74      0.08367152  -1313.10969336  -1313.02602184
       100      100.000       358.91      0.08865570  -1313.11120483  -1313.02254913
       101      101.000       376.32      0.09295584  -1313.11280612  -1313.01985029
       102      102.000       346.32      0.08554617  -1313.11025245  -1313.02470628
       103      103.000       319.71      0.07897272  -1313.10848801  -1313.02951529
       104      104.000       307.76      0.07602132  -1313.10768891  -1313.03166758
       105      105.000       308.08      0.07609977  -1313.10753517  -1313.03143540
       106      106.000       327.61      0.08092255  -1313.10936482  -1313.02844227
       107      107.000       310.99      0.07681746  -1313.10792353  -1313.03110607
       108      108.000       287.90      0.07111436  -1313.10627370  -1313.03515933
       109      109.000       283.41      0.07000454  -1313.10592547  -1313.03592093
       110      110.000       296.08      0.07313474  -1313.10690584  -1313.03377110
       111      111.000       316.93      0.07828592  -1313.10834492  -1313.03005900
       112      112.000       327.13      0.08080418  -1313.10923407  -1313.02842990
       113      113.000       315.18      0.07785237  -1313.10809536  -1313.03024300
       114      114.000       318.64      0.07870853  -1313.10842332  -1313.02971479
       115      115.000       331.40      0.08185921  -1313.10939830  -1313.02753909
       116      116.000       340.58      0.08412588  -1313.10997135  -1313.02584548
       117      117.000       347.22      0.08576817  -1313.11054253  -1313.02477436
       118      118.000       341.04      0.08424096  -1313.10999930  -1313.02575834
       119      119.000       335.23      0.08280557  -1313.10959891  -1313.02679334
       120      120.000       332.30      0.08208119  -1313.10942743  -1313.02734623
       121      121.000       325.32      0.08035805  -1313.10893488  -1313.02857683
       122      122.000       325.68      0.08044694  -1313.10881484  -1313.02836790
       123      123.000       347.25      0.08577576  -1313.11044911  -1313.02467335
       124      124.000       367.90      0.09087570  -1313.11199668  -1313.02112098
       125      125.000       372.08      0.09190770  -1313.11221159  -1313.02030389
       126      126.000       364.19      0.08996022  -1313.11163824  -1313.02167802
       127      127.000       355.85      0.08789836  -1313.11097299  -1313.02307463
       128      128.000       367.01      0.09065584  -1313.11171883  -1313.02106299
       129      129.000       383.90      0.09482800  -1313.11326590  -1313.01843791
       130      130.000       360.63      0.08907982  -1313.11131715  -1313.02223733
       131      131.000       338.08      0.08351060  -1313.10977674  -1313.02626614
       132      132.000       326.62      0.08067802  -1313.10892520  -1313.02824718
       133      133.000       334.00      0.08250161  -1313.10947682  -1313.02697522
       134      134.000       344.28      0.08504208  -1313.11054991  -1313.02550783
       135      135.000       306.47      0.07570101  -1313.10758689  -1313.03188588
       136      136.000       269.28      0.06651521  -1313.10490552  -1313.03839031
       137      137.000       268.65      0.06635931  -1313.10476468  -1313.03840537
       138      138.000       309.28      0.07639614  -1313.10779885  -1313.03140271
       139      139.000       360.42      0.08902707  -1313.11148720  -1313.02246013
       140      140.000       377.36      0.09321271  -1313.11281147  -1313.01959875
       141      141.000       351.46      0.08681458  -1313.11053358  -1313.02371900
       142      142.000       344.99      0.08521731  -1313.11039402  -1313.02517671
       143      143.000       330.11      0.08154187  -1313.10919543  -1313.02765356
       144      144.000       324.29      0.08010385  -1313.10870760  -1313.02860375
       145      145.000       341.69      0.08440207  -1313.11026869  -1313.02586662
       146      146.000       342.97      0.08471808  -1313.10988113  -1313.02516305
       147      147.000       370.93      0.09162338  -1313.11219466  -1313.02057128
       148      148.000       387.15      0.09562993  -1313.11343588  -1313.01780595
       149      149.000       369.88      0.09136450  -1313.11185094  -1313.02048643
       150      150.000       370.67      0.09155979  -1313.11214568  -1313.02058589
       151      151.000       368.72      0.09107758  -1313.11191512  -1313.02083754
       152      152.000       370.06      0.09140946  -1313.11191621  -1313.02050675
       153      153.000       377.80      0.09332155  -1313.11283132  -1313.01950977
       154      154.000       352.23      0.08700413  -1313.11059890  -1313.02359477
       155      155.000       358.92      0.08865647  -1313.11100729  -1313.02235082
       156      156.000       407.78      0.10072588  -1313.11482969  -1313.01410382
       157      157.000       431.86      0.10667414  -1313.11637142  -1313.00969728
       158      158.000       429.15      0.10600443  -1313.11629143  -1313.01028700
       159      159.000       388.47      0.09595534  -1313.11348168  -1313.01752635
       160      160.000       329.96      0.08150308  -1313.10875935  -1313.02725627
       161      161.000       337.15      0.08327871  -1313.10988092  -1313.02660221
       162      162.000       344.38      0.08506624  -1313.11023308  -1313.02516684
       163      163.000       351.37      0.08679185  -1313.11070680  -1313.02391495
       164      164.000       358.00      0.08842991  -1313.11148976  -1313.02305985
       165      165.000       333.81      0.08245488  -1313.10921601  -1313.02676113
       166      166.000       344.32      0.08505094  -1313.11034208  -1313.02529114
       167      167.000       345.73      0.08539868  -1313.11049024  -1313.02509156
       168      168.000       329.00      0.08126570  -1313.10900758  -1313.02774188
       169      169.000       335.61      0.08289857  -1313.10968495  -1313.02678639
       170      170.000       341.89      0.08445178  -1313.11007791  -1313.02562613
       171      171.000       352.63      0.08710444  -1313.11066264  -1313.02355820
       172      172.000       374.28      0.09245035  -1313.11265786  -1313.02020750
       173      173.000       351.69      0.08687210  -1313.11061799  -1313.02374589
       174      174.000       341.21      0.08428198  -1313.10995090  -1313.02566892
       175      175.000       346.12      0.08549509  -1313.11050666  -1313.02501157
       176      176.000       337.80      0.08343977  -1313.10965360  -1313.02621383
       177      177.000       340.71      0.08415974  -1313.11013064  -1313.02597090
       178      178.000       328.19      0.08106604  -1313.10906674  -1313.02800071
       179      179.000       327.06      0.08078808  -1313.10891704  -1313.02812896
       180      180.000       342.27      0.08454426  -1313.11019830  -1313.02565404
       181      181.000       338.45      0.08360128  -1313.10988819  -1313.02628691
       182      182.000       330.15      0.08155140  -1313.10913922  -1313.02758782
       183      183.000       330.70      0.08168733  -1313.10946295  -1313.02777561
       184      184.000       317.73      0.07848365  -1313.10814277  -1313.02965912
       185      185.000       336.90      0.08321896  -1313.10987965  -1313.02666069
       186      186.000       341.37      0.08432267  -1313.11010753  -1313.02578486
       187      187.000       329.56      0.08140552  -1313.10907811  -1313.02767259
       188      188.000       337.28      0.08331103  -1313.10984282  -1313.02653179
       189      189.000       336.77      0.08318643  -1313.10963590  -1313.02644947
       190      190.000       336.88      0.08321274  -1313.10988072  -1313.02666798
       191      191.000       315.69      0.07797871  -1313.10828136  -1313.03030265
       192      192.000       289.06      0.07140167  -1313.10626013  -1313.03485846
       193      193.000       292.72      0.07230446  -1313.10652207  -1313.03421762
       194      194.000       322.63      0.07969241  -1313.10882381  -1313.02913141
       195      195.000       343.21      0.08477710  -1313.11024554  -1313.02546844
       196      196.000       339.36      0.08382611  -1313.10999217  -1313.02616606
       197      197.000       322.46      0.07965117  -1313.10865557  -1313.02900440
       198      198.000       312.92      0.07729399  -1313.10797226  -1313.03067827
       199      199.000       322.76      0.07972416  -1313.10869899  -1313.02897484
       200      200.000       337.37      0.08333513  -1313.10986181  -1313.02652669
       201      201.000       337.04      0.08325240  -1313.10972888  -1313.02647648
       202      202.000       335.61      0.08289893  -1313.10962665  -1313.02672772
       203      203.000       342.89      0.08469730  -1313.11002415  -1313.02532686
       204      204.000       356.88      0.08815380  -1313.11130405  -1313.02315025
       205      205.000       349.66      0.08636886  -1313.11044556  -1313.02407669
       206      206.000       357.73      0.08836342  -1313.11134321  -1313.02297979
       207      207.000       345.24      0.08527936  -1313.11017739  -1313.02489804
       208      208.000       342.33      0.08456020  -1313.11016597  -1313.02560577
       209      209.000       328.86      0.08123236  -1313.10932211  -1313.02808975
       210      210.000       297.54      0.07349674  -1313.10673060  -1313.03323386
       211      211.000       302.63      0.07475399  -1313.10743473  -1313.03268074
       212      212.000       316.28      0.07812390  -1313.10810067  -1313.02997678
       213      213.000       347.24      0.08577107  -1313.11062545  -1313.02485438
       214      214.000       353.41      0.08729546  -1313.11096586  -1313.02367040
       215      215.000       334.46      0.08261568  -1313.10961126  -1313.02699558
       216      216.000       311.01      0.07682314  -1313.10767056  -1313.03084742
       217      217.000       326.92      0.08075353  -1313.10914384  -1313.02839031
       218      218.000       340.35      0.08407060  -1313.10991354  -1313.02584295
       219      219.000       353.57      0.08733686  -1313.11092496  -1313.02358810
       220      220.000       350.55      0.08659038  -1313.11092852  -1313.02433814
       221      221.000       320.38      0.07913678  -1313.10818342  -1313.02904664
       222      222.000       333.70      0.08242711  -1313.10973153  -1313.02730442
       223      223.000       332.42      0.08211181  -1313.10930010  -1313.02718829
       224      224.000       338.33      0.08357074  -1313.10986082  -1313.02629007
       225      225.000       342.90      0.08469894  -1313.11017144  -1313.02547249
       226      226.000       343.70      0.08489894  -1313.11011589  -1313.02521695
       227      227.000       358.37      0.08852105  -1313.11115815  -1313.02263710
       228      228.000       378.16      0.09340946  -1313.11268221  -1313.01927275
       229      229.000       385.46      0.09521188  -1313.11309303  -1313.01788115
       230      230.000       390.16      0.09637404  -1313.11330571  -1313.01693168
