# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.500       264.10      0.06523602  -1313.10718723  -1313.04195121
         2        1.000       344.33      0.08505343  -1313.10633545  -1313.02128202
         3        1.500       356.10      0.08796021  -1313.10592078  -1313.01796057
         4        2.000       322.90      0.07975942  -1313.10700672  -1313.02724730
         5        2.500       338.68      0.08365861  -1313.10758664  -1313.02392803
         6        3.000       321.09      0.07931172  -1313.10701811  -1313.02770639
         7        3.500       290.20      0.07168286  -1313.10793837  -1313.03625551
         8        4.000       284.79      0.07034525  -1313.10706995  -1313.03672469
         9        4.500       334.07      0.08251819  -1313.10625638  -1313.02373820
        10        5.000       308.25      0.07614107  -1313.10598908  -1313.02984802
        11        5.500       321.92      0.07951818  -1313.10600480  -1313.02648662
        12        6.000       281.14      0.06944511  -1313.10675244  -1313.03730733
        13        6.500       330.46      0.08162713  -1313.10735948  -1313.02573235
        14        7.000       282.73      0.06983806  -1313.10712558  -1313.03728752
        15        7.500       261.90      0.06469309  -1313.10806684  -1313.04337375
        16        8.000       289.47      0.07150322  -1313.10851747  -1313.03701425
        17        8.500       284.32      0.07023022  -1313.10957725  -1313.03934703
        18        9.000       280.48      0.06928055  -1313.10873367  -1313.03945312
        19        9.500       302.07      0.07461445  -1313.10732092  -1313.03270646
        20       10.000       272.06      0.06720143  -1313.10691102  -1313.03970959
        21       10.500       332.04      0.08201687  -1313.10718730  -1313.02517043
        22       11.000       301.44      0.07446016  -1313.10677205  -1313.03231188
        23       11.500       303.30      0.07491786  -1313.10641933  -1313.03150147
        24       12.000       348.80      0.08615802  -1313.10518064  -1313.01902262
        25       12.500       340.35      0.08407014  -1313.10671085  -1313.02264071
        26       13.000       298.58      0.07375324  -1313.10749273  -1313.03373949
        27       13.500       305.49      0.07545959  -1313.10727870  -1313.03181911
        28       14.000       307.50      0.07595543  -1313.10734836  -1313.03139293
        29       14.500       311.17      0.07686131  -1313.10746576  -1313.03060445
        30       15.000       287.61      0.07104313  -1313.10802327  -1313.03698015
        31       15.500       290.57      0.07177434  -1313.10751989  -1313.03574555
        32       16.000       356.52      0.08806397  -1313.10749017  -1313.01942621
        33       16.500       295.68      0.07303531  -1313.10708445  -1313.03404914
        34       17.000       298.61      0.07376013  -1313.10694663  -1313.03318650
        35       17.500       346.14      0.08550086  -1313.10783987  -1313.02233901
        36       18.000       383.32      0.09468398  -1313.10724478  -1313.01256079
        37       18.500       303.51      0.07497089  -1313.10620909  -1313.03123820
        38       19.000       304.22      0.07514540  -1313.10555382  -1313.03040842
        39       19.500       274.47      0.06779662  -1313.10676481  -1313.03896818
        40       20.000       267.86      0.06616498  -1313.10600100  -1313.03983601
        41       20.500       308.81      0.07627900  -1313.10552182  -1313.02924282
        42       21.000       275.27      0.06799603  -1313.10538076  -1313.03738472
        43       21.500       296.10      0.07314127  -1313.10655584  -1313.03341457
        44       22.000       330.24      0.08157199  -1313.10841722  -1313.02684522
        45       22.500       291.67      0.07204534  -1313.10797456  -1313.03592922
        46       23.000       246.26      0.06082949  -1313.10757991  -1313.04675043
        47       23.500       290.09      0.07165657  -1313.10682653  -1313.03516996
        48       24.000       306.89      0.07580467  -1313.10595966  -1313.03015499
        49       24.500       304.90      0.07531462  -1313.10615228  -1313.03083766
        50       25.000       285.32      0.07047839  -1313.10729323  -1313.03681484
        51       25.500       278.64      0.06882824  -1313.10688821  -1313.03805997
        52       26.000       317.36      0.07839146  -1313.10672890  -1313.02833744
        53       26.500       311.05      0.07683401  -1313.10751979  -1313.03068578
        54       27.000       291.23      0.07193667  -1313.10790213  -1313.03596546
        55       27.500       333.11      0.08228258  -1313.10773256  -1313.02544998
        56       28.000       283.19      0.06995130  -1313.10831420  -1313.03836290
        57       28.500       274.56      0.06782039  -1313.10825753  -1313.04043713
        58       29.000       282.95      0.06989090  -1313.10821883  -1313.03832794
        59       29.500       280.72      0.06934196  -1313.10741393  -1313.03807197
        60       30.000       264.38      0.06530417  -1313.10901878  -1313.04371461
        61       30.500       321.45      0.07940130  -1313.10824563  -1313.02884433
        62       31.000       349.33      0.08628793  -1313.10873008  -1313.02244215
        63       31.500       322.40      0.07963540  -1313.10864507  -1313.02900967
        64       32.000       272.20      0.06723634  -1313.10749491  -1313.04025856
        65       32.500       302.20      0.07464791  -1313.10832620  -1313.03367829
        66       33.000       300.77      0.07429342  -1313.10833351  -1313.03404009
        67       33.500       302.61      0.07474765  -1313.10775292  -1313.03300528
        68       34.000       236.38      0.05838960  -1313.10787306  -1313.04948346
        69       34.500       325.79      0.08047300  -1313.10898799  -1313.02851499
        70       35.000       282.12      0.06968646  -1313.10918282  -1313.03949635
        71       35.500       338.68      0.08365738  -1313.10928526  -1313.02562788
        72       36.000       292.67      0.07229218  -1313.10858371  -1313.03629153
        73       36.500       215.10      0.05313198  -1313.10756602  -1313.05443403
        74       37.000       260.57      0.06436262  -1313.10806069  -1313.04369807
        75       37.500       327.18      0.08081622  -1313.10924261  -1313.02842639
        76       38.000       285.71      0.07057479  -1313.10936948  -1313.03879468
        77       38.500       265.52      0.06558652  -1313.10864353  -1313.04305701
        78       39.000       254.05      0.06275205  -1313.10856508  -1313.04581303
        79       39.500       323.56      0.07992183  -1313.10937755  -1313.02945572
        80       40.000       257.74      0.06366464  -1313.10889328  -1313.04522863
        81       40.500       353.96      0.08743090  -1313.10829079  -1313.02085989
        82       41.000       364.85      0.09012229  -1313.10989639  -1313.01977410
        83       41.500       288.77      0.07132990  -1313.10898191  -1313.03765201
        84       42.000       321.25      0.07935316  -1313.10909308  -1313.02973992
        85       42.500       320.97      0.07928377  -1313.10917064  -1313.02988687
        86       43.000       306.21      0.07563669  -1313.11021759  -1313.03458090
        87       43.500       333.27      0.08232225  -1313.11039935  -1313.02807709
        88       44.000       236.17      0.05833676  -1313.10920973  -1313.05087297
        89       44.500       291.78      0.07207247  -1313.10898687  -1313.03691440
        90       45.000       344.58      0.08511556  -1313.10863000  -1313.02351444
        91       45.500       284.73      0.07033057  -1313.10936844  -1313.03903787
        92       46.000       374.31      0.09245930  -1313.10997675  -1313.01751745
        93       46.500       329.69      0.08143664  -1313.10994510  -1313.02850846
        94       47.000       260.32      0.06430134  -1313.10940601  -1313.04510468
        95       47.500       233.39      0.05764992  -1313.10892612  -1313.05127619
