    Coord1     Coord2      Energy(Hartree)     Energy(kcal/mol)   Relative(kcal/mol)
------------------------------------------------------------------------------------------
      4.00       4.00         -2184.908788      -1371050.964296             0.128639
      3.95       4.00         -2184.908993      -1371051.092935             0.000000
      3.90       4.00         -2184.908978      -1371051.083523             0.009413
      3.85       4.00         -2184.908839      -1371050.996299             0.096636
      3.80       4.00         -2184.908658      -1371050.882720             0.210216
      3.75       4.00         -2184.908429      -1371050.739020             0.353915
      3.70       4.00         -2184.908133      -1371050.553277             0.539658
      3.65       4.00         -2184.907522      -1371050.169869             0.923066
      3.60       4.00         -2184.907163      -1371049.944593             1.148342
      3.55       4.00         -2184.906343      -1371049.430035             1.662900
      3.50       4.00         -2184.905988      -1371049.207269             1.885666
      3.45       4.00         -2184.907211      -1371049.974713             1.118222
      3.40       4.00         -2184.906974      -1371049.825994             1.266942
      3.35       4.00         -2184.906104      -1371049.280060             1.812875
      3.30       4.00         -2184.905263      -1371048.752325             2.340610
      3.25       4.00         -2184.906424      -1371049.480863             1.612072
      3.20       4.00         -2184.905662      -1371049.002701             2.090234
      3.15       4.00         -2184.904717      -1371048.409705             2.683231
      3.10       4.00         -2184.903504      -1371047.648536             3.444400
      3.05       4.00         -2184.902165      -1371046.808301             4.284635
      3.00       4.00         -2184.900369      -1371045.681294             5.411642
      2.95       4.00         -2184.898590      -1371044.564954             6.527981
      2.90       4.00         -2184.896233      -1371043.085914             8.007021
      2.85       4.00         -2184.893934      -1371041.643270             9.449665
      2.80       4.00         -2184.890916      -1371039.749447            11.343489
      2.75       4.00         -2184.888528      -1371038.250954            12.841981
      2.70       4.00         -2184.885054      -1371036.070986            15.021949
      2.65       4.00         -2184.886464      -1371036.955774            14.137161
      2.60       4.00         -2184.887458      -1371037.579519            13.513417
      2.55       4.00         -2184.884651      -1371035.818100            15.274836
      2.50       4.00         -2184.881057      -1371033.562831            17.530105
      2.45       4.00         -2184.877227      -1371031.159469            19.933466
      2.40       4.00         -2184.873337      -1371028.718457            22.374478
      2.35       4.00         -2184.868625      -1371025.761633            25.331302
      2.30       4.00         -2184.877583      -1371031.382863            19.710073
      2.25       4.00         -2184.873213      -1371028.640646            22.452289
      2.20       4.00         -2184.868287      -1371025.549535            25.543401
      2.15       4.00         -2184.862947      -1371022.198634            28.894301
      2.10       4.00         -2184.857190      -1371018.586062            32.506873
      2.05       4.00         -2184.851095      -1371014.761392            36.331544
      2.00       4.00         -2184.844755      -1371010.782982            40.309954
      1.95       4.00         -2184.838340      -1371006.757508            44.335427
      1.90       4.00         -2184.832761      -1371003.256633            47.836302
      1.85       4.00         -2184.826529      -1370999.345994            51.746941
      1.80       4.00         -2184.824421      -1370998.023204            53.069731
      1.75       4.00         -2184.819086      -1370994.675441            56.417494
      1.70       4.00         -2184.813637      -1370991.256142            59.836793
      1.65       4.00         -2184.808099      -1370987.780994            63.311941
      1.60       4.00         -2184.802064      -1370983.993975            67.098961
      1.55       4.00         -2184.795118      -1370979.635294            71.457641
      1.50       4.00         -2184.787366      -1370974.770841            76.322095
      4.00       3.95         -2184.908787      -1371050.963668             0.129267
      4.00       3.90         -2184.908669      -1371050.889622             0.203313
      4.00       3.85         -2184.908345      -1371050.686309             0.406626
      4.00       3.80         -2184.908059      -1371050.506841             0.586094
      4.00       3.75         -2184.907650      -1371050.250190             0.842745
      4.00       3.70         -2184.907296      -1371050.028052             1.064884
      4.00       3.65         -2184.906689      -1371049.647153             1.445782
      4.00       3.60         -2184.906198      -1371049.339046             1.753889
      4.00       3.55         -2184.905848      -1371049.119418             1.973517
      4.00       3.50         -2184.904948      -1371048.554659             2.538276
      4.00       3.45         -2184.904307      -1371048.152426             2.940509
      4.00       3.40         -2184.904732      -1371048.419117             2.673818
      4.00       3.35         -2184.903844      -1371047.861889             3.231046
      4.00       3.30         -2184.903087      -1371047.386864             3.706071
      4.00       3.25         -2184.902113      -1371046.775670             4.317265
      4.00       3.20         -2184.901156      -1371046.175144             4.917792
      4.00       3.15         -2184.899697      -1371045.259607             5.833328
      4.00       3.10         -2184.898544      -1371044.536089             6.556846
      4.00       3.05         -2184.896766      -1371043.420377             7.672558
      4.00       3.00         -2184.898890      -1371044.753207             6.339728
      4.00       2.95         -2184.897832      -1371044.089302             7.003633
      4.00       2.90         -2184.896463      -1371043.230242             7.862694
      4.00       2.85         -2184.894958      -1371042.285840             8.807095
      4.00       2.80         -2184.892970      -1371041.038351            10.054584
      4.00       2.75         -2184.890951      -1371039.771409            11.321526
      4.00       2.70         -2184.889949      -1371039.142645            11.950290
      4.00       2.65         -2184.887968      -1371037.899549            13.193387
      4.00       2.60         -2184.885140      -1371036.124952            14.967983
      4.00       2.55         -2184.884081      -1371035.460419            15.632516
      4.00       2.50         -2184.881488      -1371033.833287            17.259648
      4.00       2.45         -2184.878031      -1371031.663987            19.428948
      4.00       2.40         -2184.874444      -1371029.413110            21.679825
      4.00       2.35         -2184.870132      -1371026.707290            24.385646
      4.00       2.30         -2184.865565      -1371023.841454            27.251481
      4.00       2.25         -2184.862823      -1371022.120823            28.972112
      4.00       2.20         -2184.858079      -1371019.143918            31.949017
      4.00       2.15         -2184.852695      -1371015.765407            35.327528
      4.00       2.10         -2184.847100      -1371012.254491            38.838444
      4.00       2.05         -2184.841021      -1371008.439861            42.653074
      4.00       2.00         -2184.837234      -1371006.063483            45.029452
      4.00       1.95         -2184.832279      -1371002.954174            48.138762
      4.00       1.90         -2184.826531      -1370999.347249            51.745686
      4.00       1.85         -2184.821349      -1370996.095495            54.997440
      4.00       1.80         -2184.816356      -1370992.962340            58.130595
      4.00       1.75         -2184.813527      -1370991.187116            59.905819
      4.00       1.70         -2184.810772      -1370989.458327            61.634608
      4.00       1.65         -2184.811138      -1370989.687996            61.404940
      4.00       1.60         -2184.810047      -1370989.003383            62.089552
      4.00       1.55         -2184.807810      -1370987.599644            63.493291
      4.00       1.50         -2184.805750      -1370986.306975            64.785961
      3.95       3.95         -2184.908897      -1371051.032694             0.060241
      3.95       3.90         -2184.908756      -1371050.944216             0.148720
      3.95       3.85         -2184.908583      -1371050.835656             0.257279
      3.95       3.80         -2184.908203      -1371050.597203             0.495732
      3.95       3.75         -2184.907855      -1371050.378830             0.714106
      3.95       3.70         -2184.907527      -1371050.173006             0.919929
      3.95       3.65         -2184.906972      -1371049.824739             1.268197
      3.95       3.60         -2184.906439      -1371049.490276             1.602659
      3.95       3.55         -2184.906450      -1371049.497179             1.595757
      3.95       3.50         -2184.905864      -1371049.129458             1.963477
      3.95       3.45         -2184.905124      -1371048.665101             2.427834
      3.95       3.40         -2184.904358      -1371048.184429             2.908506
      3.95       3.35         -2184.903169      -1371047.438320             3.654615
      3.95       3.30         -2184.902421      -1371046.968943             4.123992
