    Coord1     Coord2      Energy(Hartree)     Energy(kcal/mol)   Relative(kcal/mol)
------------------------------------------------------------------------------------------
      4.00       4.00         -2184.916971      -1371056.099206            25.326282
      3.95       4.00         -2184.917305      -1371056.308794            25.116694
      3.90       4.00         -2184.917606      -1371056.497674            24.927814
      3.85       4.00         -2184.917648      -1371056.524030            24.901458
      3.80       4.00         -2184.917925      -1371056.697850            24.727638
      3.75       4.00         -2184.917791      -1371056.613764            24.811725
      3.70       4.00         -2184.917986      -1371056.736128            24.689360
      3.65       4.00         -2184.918071      -1371056.789466            24.636022
      3.60       4.00         -2184.917951      -1371056.714165            24.711323
      3.55       4.00         -2184.917952      -1371056.714793            24.710696
      3.50       4.00         -2184.917924      -1371056.697222            24.728266
      3.45       4.00         -2184.917662      -1371056.532815            24.892673
      3.40       4.00         -2184.917626      -1371056.510225            24.915264
      3.35       4.00         -2184.917312      -1371056.313187            25.112302
      3.30       4.00         -2184.917135      -1371056.202117            25.223371
      3.25       4.00         -2184.916688      -1371055.921621            25.503868
      3.20       4.00         -2184.916287      -1371055.669989            25.755499
      3.15       4.00         -2184.916128      -1371055.570215            25.855273
      3.10       4.00         -2184.915484      -1371055.166099            26.259389
      3.05       4.00         -2184.916404      -1371055.743408            25.682080
      3.00       4.00         -2184.916090      -1371055.546370            25.879118
      2.95       4.00         -2184.915661      -1371055.277168            26.148320
      2.90       4.00         -2184.914893      -1371054.795241            26.630247
      2.85       4.00         -2184.914188      -1371054.352847            27.072641
      2.80       4.00         -2184.913710      -1371054.052897            27.372591
      2.75       4.00         -2184.912405      -1371053.233998            28.191491
      2.70       4.00         -2184.910982      -1371052.341052            29.084437
      2.65       4.00         -2184.909208      -1371051.227850            30.197638
      2.60       4.00         -2184.906991      -1371049.836661            31.588827
      2.55       4.00         -2184.904793      -1371048.457396            32.968093
      2.50       4.00         -2184.901951      -1371046.674014            34.751475
      2.45       4.00         -2184.898784      -1371044.686691            36.738797
      2.40       4.00         -2184.895627      -1371042.705644            38.719845
      2.35       4.00         -2184.892396      -1371040.678161            40.747328
      2.30       4.00         -2184.888428      -1371038.188203            43.237285
      2.25       4.00         -2184.884026      -1371035.425906            45.999582
      2.20       4.00         -2184.879161      -1371032.373073            49.052416
      2.15       4.00         -2184.874368      -1371029.365420            52.060068
      2.10       4.00         -2184.869026      -1371026.013264            55.412224
      2.05       4.00         -2184.863209      -1371022.363042            59.062447
